From,To,Count
0,1760,3
2,2692,6
3,2719,2
3,3118,2
3,5211,2
4,489,13
4,753,1
4,775,1
4,964,1
4,1019,2
4,1049,1
4,1142,2
4,1669,1
4,2065,1
4,2208,2
4,2293,1
4,2521,10
4,2536,1
4,2553,4
4,2664,3
4,2749,1
4,2998,1
4,3001,1
4,3061,9
4,3107,1
4,3192,1
4,3343,1
4,3416,2
4,3862,11
4,4274,1
4,4390,1
4,4403,4
4,4655,2
4,4844,1
4,4951,2
4,5193,2
4,5206,1
4,5222,1
4,5276,1
4,5340,7
4,5461,3
4,5568,1
4,5731,1
4,5836,1
4,5897,1
4,5938,2
4,6092,2
4,6147,1
4,6289,2
4,6504,3
5,2719,6
6,5214,7
7,3862,4
7,5817,1
8,3039,1
8,3078,1
8,3862,8
9,2719,11
9,5214,5
10,2719,9
10,5214,1
11,171,4
13,510,1
14,544,24
15,3352,1
15,3830,2
15,5980,1
16,1313,3
16,3343,3
17,3496,6
19,6545,3
20,2719,3
20,5982,3
21,1026,8
22,1150,25
22,1528,15
22,3731,9
22,5113,6
23,265,1
23,1164,1
23,2664,1
23,6147,2
24,609,3
24,1313,3
24,3343,3
25,1341,12
26,26,1
27,2770,1
27,3039,1
27,4049,2
27,5098,1
28,1648,3
29,1710,6
32,1926,4
36,1742,2
37,2208,81
37,3797,2
37,6521,2
38,145,1
39,6536,2
40,2651,19
41,362,2
41,1231,2
41,1282,2
41,1843,10
41,2719,87
41,5595,2
41,6179,2
42,2966,1
43,2208,4
43,2943,6
44,2979,9
45,3003,5
46,3028,24
47,3042,2
48,3296,9
49,2501,3
49,3343,53
50,3416,22
51,3418,3
52,3456,5
53,99,3
53,693,7
53,1398,1
53,3476,27
53,4118,2
53,5508,4
53,6012,1
53,6117,1
54,1710,2
54,2569,1
54,5340,4
54,5696,1
55,3608,6
56,56,2
57,6055,2
58,3416,2
58,4543,2
58,5667,2
59,4039,2
60,4041,18
61,4072,10
63,4136,72
64,2719,1
64,3797,1
64,5982,2
65,4189,23
68,5508,8
70,70,2
71,4088,6
72,4475,1
73,5132,3
74,5508,4
75,5461,7
76,5508,28
77,5558,3
77,5692,3
78,5568,7
79,5692,2
80,5725,9
81,1440,1
81,2162,1
81,4049,1
81,6121,3
82,2208,2
82,3205,2
82,4912,2
83,5989,9
84,536,27
84,5692,27
84,6004,27
85,6055,40
86,5508,4
86,6095,4
87,1150,12
88,88,1
88,2512,1
88,6430,3
89,1302,1
90,1118,2
91,4072,2
91,5576,1
93,93,1
93,127,3
93,463,4
93,1415,4
93,2441,2
93,4214,4
93,4972,4
93,5259,2
93,6211,2
93,6394,2
94,5508,6
95,3416,1
95,4176,3
95,4420,5
97,2719,1
97,5211,6
98,1351,1
98,1569,3
98,4037,3
98,4176,1
98,5605,1
98,6311,1
99,1398,1
99,2208,1
100,5425,2
101,4039,2
103,171,1
103,583,2
103,3247,14
103,5351,2
103,5917,6
103,5982,1
103,6321,4
104,3039,1
104,3862,2
104,5222,2
104,6092,1
105,3031,8
106,1847,1
108,1847,8
109,1125,3
109,1919,3
111,3028,3
111,3170,1
112,1648,3
112,4072,8
112,4176,4
112,4968,3
112,5508,2
113,5795,3
114,5576,5
115,200,3
115,505,3
115,2692,2
116,2979,1
116,3028,3
116,3456,1
117,117,2
117,583,2
118,885,3
118,5461,3
119,2692,5
120,293,1
120,696,4
120,1025,1
120,3107,8
120,6433,2
121,321,1
121,650,6
121,1426,12
121,2668,1
121,2787,9
121,2790,26
121,3003,23
121,3250,5
121,3482,5
121,3487,6
121,3850,6
121,3862,12
121,4303,10
121,4431,3
121,4938,15
121,4941,23
121,5098,18
121,5325,17
121,5461,6
121,5576,4
121,6279,1
122,1769,3
122,2631,3
123,1753,4
124,4056,5
124,5340,1
124,5817,11
124,6289,2
126,5923,3
127,93,7
127,127,7
